,time,open,high,low,close,tickvol,vol
405,2020-10-05 11:15:00,94615,94720,94445,94485,128009,455175
406,2020-10-05 11:30:00,94480,94735,94375,94575,132020,459965
407,2020-10-05 11:45:00,94575,94830,94545,94700,110992,386907
408,2020-10-05 12:00:00,94700,94775,94455,94655,108882,369094
409,2020-10-05 12:15:00,94660,94740,94550,94580,77465,271300
410,2020-10-05 12:30:00,94580,95230,94530,95185,131258,508682
411,2020-10-05 12:45:00,95185,95460,95180,95345,114745,528645
412,2020-10-05 13:00:00,95340,95655,95330,95420,119514,464687
413,2020-10-05 13:15:00,95425,95685,95410,95595,79428,304899
414,2020-10-05 13:30:00,95590,95775,95545,95710,76823,289808
415,2020-10-05 13:45:00,95705,95880,95605,95700,87294,337112
416,2020-10-05 14:00:00,95695,95935,95615,95770,93381,343531
417,2020-10-05 14:15:00,95775,96170,95690,96105,123130,498524
418,2020-10-05 14:30:00,96105,96130,95905,95950,66767,252896
419,2020-10-05 14:45:00,95950,96280,95860,96035,112606,434677
420,2020-10-05 15:00:00,96030,96050,95840,95945,73409,274452
421,2020-10-05 15:15:00,95940,96025,95860,95940,55101,209404
422,2020-10-05 15:30:00,95945,96080,95930,96050,56720,231136
423,2020-10-05 15:45:00,96055,96300,96035,96185,92795,374192
424,2020-10-05 16:00:00,96185,96280,96040,96125,82292,363307
425,2020-10-05 16:15:00,96125,96465,96120,96265,104012,431865
426,2020-10-05 16:30:00,96270,96300,96095,96105,63286,244543
427,2020-10-05 16:45:00,96105,96240,96030,96225,68958,283530
428,2020-10-05 17:00:00,96220,96225,96050,96070,42771,173831
429,2020-10-05 17:15:00,96075,96095,95970,96030,34913,126441
430,2020-10-05 17:30:00,96040,96130,96005,96030,27337,92103
431,2020-10-05 17:45:00,96025,96170,95900,95900,22185,73635
432,2020-10-06 09:00:00,96725,97065,96725,96840,85088,256268
433,2020-10-06 09:15:00,96835,97035,96670,97005,138973,434153
434,2020-10-06 09:30:00,97005,97420,96810,97265,184804,568979
435,2020-10-06 09:45:00,97265,97290,96855,97060,131113,370730
436,2020-10-06 10:00:00,97060,97100,96840,97000,151522,494459
437,2020-10-06 10:15:00,96995,97155,96705,96775,164914,538851
438,2020-10-06 10:30:00,96775,97125,96710,96790,205670,707111
439,2020-10-06 10:45:00,96790,96930,96550,96770,190371,656221
440,2020-10-06 11:00:00,96770,97330,96700,97180,168039,586709
441,2020-10-06 11:15:00,97185,97235,96975,97125,123616,416863
442,2020-10-06 11:30:00,97130,97480,96880,97125,194650,681146
443,2020-10-06 11:45:00,97125,97195,96820,96910,116667,403401
444,2020-10-06 12:00:00,96910,96975,96725,96870,103568,396566
445,2020-10-06 12:15:00,96870,96930,96385,96535,123352,466983
